Program1,Program2,Name1,Name2,weight,Timedelta
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,Pyth: Pyth Oracle,Chainlink Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,Pyth: Pyth Oracle,Switchboard: Switchboard V2 Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,Pyth: Pyth Oracle,Magic Eden: Magiceden V2 Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,DtmE9D2CSB4L5D6A15mraeEjrGMm6auWVzgaD8hK2tZM,Pyth: Pyth Oracle,Switchboard: Switchboard Oracle,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Pyth: Pyth Oracle,Jupiter: Jupiter Swap V4,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,Pyth: Pyth Oracle,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,Pyth: Pyth Oracle,Openbook: Openbook Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,Pyth: Pyth Oracle,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Pyth: Pyth Oracle,Jupiter: Jupiter Aggregator V3,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,Pyth: Pyth Oracle,DCDX75fVNMB816DFERFiWgRiTxqkQukaCM7mSvsA9gQT,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,Pyth: Pyth Oracle,Zeta: Zeta Dex,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,Pyth: Pyth Oracle,FUfpR31LmcP1VSbz5zDaM7nxnH55iBHkpwusgrnhaFjL,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,Pyth: Pyth Oracle,Metaplex: Metaplex Token Metadata,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,Pyth: Pyth Oracle,3r2St9LGBnXMxv2msAZ4eGAPFNHwpNMbudkdBxdZCCRL,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW,Pyth: Pyth Oracle,Star Atlas: Star Atlas Fleet Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,Pyth: Pyth Oracle,rwdNPNPS6zNvtF6FMvaxPRjzu2eC51mXaDT9rmWsojp,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,Pyth: Pyth Oracle,StepN DOOAR Swap,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,HAbiTatJVqoCJd9asyr6RxMEdwtfrQugwp7VAFyKWb1g,Pyth: Pyth Oracle,Genopets: Genopets Habitat Management Program,0.0,7d
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,8puaJ4HcQByrpWfsuRAF4BPyqGwUPsez44BuMXFCDEdc,Pyth: Pyth Oracle,8puaJ4HcQByrpWfsuRAF4BPyqGwUPsez44BuMXFCDEdc,0.0,7d
