ProgramID,Name
JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,Jupiter: Jupiter Swap V4
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,Pyth: Pyth Oracle
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,Chainlink Program
M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,Magic Eden: Magiceden V2 Program
SW1TCH7qEPTdLsDHRgPuMQjbQxKdH2aBStViMFnt64f,Switchboard: Switchboard V2 Program
srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,Openbook: Openbook Program
BL1ZARDoXb39wVuvF36yCgqYGYPGpBDKtZt1EaGRGHdo,BL1ZARDoXb39wVuvF36yCgqYGYPGpBDKtZt1EaGRGHdo
ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,Zeta: Zeta Dex
5xcBkS1k1pWErFjakTJjjMZReF8iErkWq3HCykrNwoT9,5xcBkS1k1pWErFjakTJjjMZReF8iErkWq3HCykrNwoT9
GDDMwNyyx8uB6zrqwBFHjLLG3TBYk2F8Az4yrQC5RzMp,Solnet Program
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium: Raydium Liquidity Pool V4
dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG
F1ZY6nXjLkBBR69ozgQfVmhkT9WYuNGenJb7FA8shqEK,F1ZY6nXjLkBBR69ozgQfVmhkT9WYuNGenJb7FA8shqEK
GVXG8ciCwhoqP6BEpPsGb8Q5JzBqFs8CkQrZv3rLXmXi,GVXG8ciCwhoqP6BEpPsGb8Q5JzBqFs8CkQrZv3rLXmXi
DqhtFVXHQJ8mfHpMZ3rkYzCXrnX9U1We2L7CcdxU3EMb,DqhtFVXHQJ8mfHpMZ3rkYzCXrnX9U1We2L7CcdxU3EMb
EvocationV9G8ZTWXPa9QoVsJDmEeGdqk8pxPAt8ApJf,EvocationV9G8ZTWXPa9QoVsJDmEeGdqk8pxPAt8ApJf
CornermanWUn3KmH9FRwQfavpUVkMGNwGBUzLMybQ9NW,CornermanWUn3KmH9FRwQfavpUVkMGNwGBUzLMybQ9NW
323MrRVVZgH877H7FiEcRFMqpZR7Uzzc6x6c4R2uE9B8,323MrRVVZgH877H7FiEcRFMqpZR7Uzzc6x6c4R2uE9B8
JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,Jupiter: Jupiter Aggregator V3
EN1GMAXbcQF3ucku4wpxE45CKUaoBD3yiutrFqNfLfK7,EN1GMAXbcQF3ucku4wpxE45CKUaoBD3yiutrFqNfLfK7
yimit4469SDw6aCfdzSQB555PXyCNFknrfiTThgg9wD,yimit4469SDw6aCfdzSQB555PXyCNFknrfiTThgg9wD
s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6
3GRE3mhckAosTkYXfVvHm5WrW1AxK4aKp8LfoXLxEUYs,3GRE3mhckAosTkYXfVvHm5WrW1AxK4aKp8LfoXLxEUYs
metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,Metaplex: Metaplex Token Metadata
mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc
8BR3zs8zSXetpnDjCtHWnkpSkNSydWb3PTTDuVKku2uu,8BR3zs8zSXetpnDjCtHWnkpSkNSydWb3PTTDuVKku2uu
7WduLbRfYhTJktjLw5FDEyrqoEv61aTTCuGAetgLjzN5,7WduLbRfYhTJktjLw5FDEyrqoEv61aTTCuGAetgLjzN5
9AyUhsKo3MwmPAuM6yT1cPvq3H6rHB2ycFi11JeVuqKP,9AyUhsKo3MwmPAuM6yT1cPvq3H6rHB2ycFi11JeVuqKP
AUrR1zj1Fu9CcG6K3Vb3xCZktZcyxxwaCMWoGpWytuRe,AUrR1zj1Fu9CcG6K3Vb3xCZktZcyxxwaCMWoGpWytuRe
Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,StepN DOOAR Swap
JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,Jupiter: Jupiter Aggregator V2
