blockchain,creator,address,label_type,label_subtype,label,address_name,dim_labels_id,inserted_timestamp,modified_timestamp,__row_index
solana,flipside,94oHQMrCECP266YUoQmDvgVwafZApP9KAseMyNtjAPP7,dex,general_contract,mango markets,mangoriskcheck,eb739249fbc54c7f7f99904776525f3b,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,0
solana,flipside,GDDMwNyyx8uB6zrqwBFHjLLG3TBYk2F8Az4yrQC5RzMp,chadmin,general_contract,solana,sequence enforcer,55582a9518b3d27ab9b0b05a69343f81,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,1
solana,flipside,781wH11JGQgEoBkBzuc8uoQLtp8KxeHk1yZiS1JhFYKy,chadmin,general_contract,solana,solana phone preorder,c2c20108ffbdcec0dcb94a50398a2aa4,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,2
solana,flipside,CBuCnLe26faBpcBP2fktp4rp8abpcAnTWft6ZrP5Q4T,dex,pool,raydium,raydium stake v4,81226b789833de4125120eba105a5af8,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,3
solana,flipside,MEV4g2VQod71BL6L2Giu1ykqEAqvyXytdWKp1ugDdqQ,dapp,general_contract,mev,mev address,1bab2013a7bee1c3fecc4e6c9752b202,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,4
solana,flipside,7mp8BreoYmruCVTB2wGn2mSwYdot2DLDmCPeqEKk1GpL,defi,general_contract,amulet,amulets splsolstakingprogram,e2919e65056a8bb5cef75ce9b267672c,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,5
solana,flipside,F6fmDVCQfvnEq2KR8hhfZSEczfM9JK9fWbCsYJNbTGn7,dapp,general_contract,incinerator,incinerator,deb4e2b0a60f2c8586a76ea5edae5dbc,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,6
solana,flipside,GqTPL6qRf5aUuqscLh8Rg2HTxPUXfhhAXDptTLhp1t2J,dapp,governance,realms,mango dao,dd07fe880b47e23bbe2f4e707900b9ff,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,7
solana,flipside,X3NongcyQZDhmvFYWbUASHXurHTTyPXYfdDEci99uuR,dapp,general_contract,xenon,xenon program,6bf61debcd0186a5a655b912ab91eeed,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,8
solana,flipside,2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c,dapp,general_contract,lifinity,lifinity swap v2,7662ab09a61d7aa87ad30b7ce324f94b,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,9
solana,flipside,DCA265Vj8a9CEuX1eb1LWRnDT7uK6q1xMipnNyatn23M,dapp,general_contract,jupiter,jupiter dca,c7d84480415a6cd4eef35d05d1790b2a,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,10
solana,flipside,BVo5TquTYMAASZhfX392BcjFUxda6DKzHStNapJE6Wyz,dapp,general_contract,cubik,cubik,bbadb196800c31d50be156cd5ea077de,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,11
solana,flipside,3KPRuKWxV6PtneZXbokMBwdF4T9brCFx7FcmKJ2tPqqt,dapp,general_contract,helio,helio program 2,6df9f524616e65a4def7d6effa71c103,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,12
solana,flipside,4MNPdKu9wFMvEeZBMt3Eipfs5ovVWTJb31pEXDJAAxX5,dex,general_contract,serum,serum assert owner program,9daec3d7ef331511f4dfb0389d760912,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,13
solana,flipside,SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,defi,general_contract,saros,saros amm,507988c3fbc6dc3b694c08101b524064,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,14
solana,flipside,TL1ST2iRBzuGTqLn1KXnGdSnEow62BzPnGiqyRXhWtW,nft,general_contract,tensor,tensor whitelist,598685218fc7613f3e0cb4deb45e795f,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,15
solana,flipside,AFX6h67CCoqcJcoFbq12dabMLDruQ38U2nogpeU7ECLa,defi,general_contract,amulet,amulets solstakingprogram,6a110b65c319ed9fc2af14755b32aad1,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,16
solana,flipside,9HzJyW1qZsEiSfMUf6L2jo3CcTKAyBmSyKdwQeYisHrC,dex,general_contract,raydium,Raydium IDO,86dd0eccf5f90e93b85f7913de87fed7,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,17
solana,flipside,GokivDYuQXPZCWRkwMhdH2h91KpDQXBEmpgBgs55bnpH,dapp,general_contract,goki,goki smart wallet,9b381fcf19511a88202a492225e667c0,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,18
solana,flipside,gSF1T5PdLc2EutzwAyeExvdW27ySDtFp88ri5Aymah6,dapp,governance,realms,sctf1,599940707ef1d359404985b3853e63c5,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,19
solana,flipside,7WduLbRfYhTJktjLw5FDEyrqoEv61aTTCuGAetgLjzN5,defi,general_contract,goose fx,goose fx ssl program,68a5be434b29d630ee706a09d4ab57b7,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,20
solana,flipside,CYPHER3ziDd1rasgBcGGbx4fMtSS72x6NEM5Zvx2vNmK,defi,general_contract,cypher,cypher,4542bd988c184e1e672951832f02b1f0,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,21
solana,flipside,AUGUREpS2W6T5FgTiycU9oD7WFrbbf4mtvi6nwEkob5T,dapp,general_contract,augur,augur,40ae48fbdf4f60cead8b4511cee3d9ff,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,22
solana,flipside,TWAPR9s1DEhrr8tuFbwEPws5moHXebMotqU85wwVmvU,dex,general_contract,aldrin,aldrin dtwap,713979cad37b2864e80f9d394009035a,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,23
solana,flipside,CMZYPASGWeTz7RNGHaRJfCq2XQ5pYK6nDvVQxzkH51zb,nft,contract_deployer,opensea,opensea: forked candy machine,1ce06eede78c68e174d39e00e19c4388,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,24
solana,flipside,A7kmu2kUcnQwAVn8B4znQmGJeUrsJ1WEhYVMtmiBLkEr,dapp,governance,realms,solend dao,806dd244eb004403a06b6936623c246a,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,25
solana,flipside,FF7U7Vj1PpBkTPau7frwLLrUHrjkxTQLsH7U5K3T3B3j,defi,general_contract,mean finance,mean finance multisig program,3da62ab649bfbbf874ea824314442b47,2024-02-01T18:45:09.206Z,2024-02-09T21:32:04.180Z,26
