CREATION_DATE,ADDRESS
2020-10-07,116
2020-10-08,336
2020-10-09,315
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,0
2020-10-19,118
2020-10-20,69
2020-10-21,73
2020-10-22,98
2020-10-23,78
2020-10-24,59
2020-10-25,88
2020-10-26,62
2020-10-27,205
2020-10-28,180
2020-10-29,75
2020-10-30,158
2020-10-31,79
2020-11-01,92
2020-11-02,100
2020-11-03,131
2020-11-04,1587
2020-11-05,1816
2020-11-06,429
2020-11-07,6071
2020-11-08,320
2020-11-09,164
2020-11-10,348
2020-11-11,616
2020-11-12,1173
2020-11-13,2558
2020-11-14,3251
2020-11-15,4156
2020-11-16,3211
2020-11-17,331
2020-11-18,312
2020-11-19,80
2020-11-20,129
2020-11-21,94
2020-11-22,65
2020-11-23,1019
2020-11-24,223
2020-11-25,472
2020-11-26,204
2020-11-27,99
2020-11-28,83
2020-11-29,152
2020-11-30,191
2020-12-01,126
2020-12-02,108
2020-12-03,332
2020-12-04,148
2020-12-05,164
2020-12-06,472
2020-12-07,180
2020-12-08,67
2020-12-09,40
2020-12-10,47
2020-12-11,35
2020-12-12,38
2020-12-13,31
2020-12-14,105
2020-12-15,169
2020-12-16,150
2020-12-17,182
2020-12-18,651
2020-12-19,347
2020-12-20,559
2020-12-21,1390
2020-12-22,5057
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,0
2021-01-05,0
2021-01-06,0
2021-01-07,598
2021-01-08,289
2021-01-09,338
2021-01-10,633
2021-01-11,1226
2021-01-12,911
2021-01-13,1237
2021-01-14,1054
2021-01-15,190
2021-01-16,440
2021-01-17,765
2021-01-18,1143
2021-01-19,1112
2021-01-20,1024
2021-01-21,1882
2021-01-22,1229
2021-01-23,2427
2021-01-24,1771
2021-01-25,1550
2021-01-26,183
2021-01-27,386
2021-01-28,265
2021-01-29,185
2021-01-30,260
2021-01-31,470
2021-02-01,943
2021-02-02,372
2021-02-03,274
2021-02-04,323
2021-02-05,398
2021-02-06,297
2021-02-07,264
2021-02-08,343
2021-02-09,321
2021-02-10,469
2021-02-11,519
2021-02-12,330
2021-02-13,307
2021-02-14,318
2021-02-15,345
2021-02-16,394
2021-02-17,369
2021-02-18,388
2021-02-19,584
2021-02-20,659
2021-02-21,2281
2021-02-22,1652
2021-02-23,915
2021-02-24,1331
2021-02-25,7525
2021-02-26,2329
2021-02-27,1209
2021-02-28,760
2021-03-01,451
2021-03-02,751
2021-03-03,766
2021-03-04,695
2021-03-05,905
2021-03-06,538
2021-03-07,552
2021-03-08,664
2021-03-09,1024
2021-03-10,846
2021-03-11,888
2021-03-12,1582
2021-03-13,1625
2021-03-14,1760
2021-03-15,2757
2021-03-16,10435
2021-03-17,10994
2021-03-18,12121
2021-03-19,2161
2021-03-20,1967
2021-03-21,2020
2021-03-22,2017
2021-03-23,3099
2021-03-24,1191
2021-03-25,1139
2021-03-26,0
2021-03-27,0
2021-03-28,2724
2021-03-29,5176
2021-03-30,3378
2021-03-31,12536
2021-04-01,16126
2021-04-02,15588
2021-04-03,9629
2021-04-04,8877
2021-04-05,7155
2021-04-06,4703
2021-04-07,2515
2021-04-08,4710
2021-04-09,5067
2021-04-10,6318
2021-04-11,3828
2021-04-12,4737
2021-04-13,4211
2021-04-14,4423
2021-04-15,3535
2021-04-16,4071
2021-04-17,3762
2021-04-18,3325
2021-04-19,4332
2021-04-20,4381
2021-04-21,8006
2021-04-22,24104
2021-04-23,5393
2021-04-24,5353
2021-04-25,7215
2021-04-26,11688
2021-04-27,12905
2021-04-28,14475
2021-04-29,100000
2021-04-30,18516
2021-05-01,9487
2021-05-02,7779
2021-05-03,9397
2021-05-04,9556
2021-05-05,7959
2021-05-06,8513
2021-05-07,7070
2021-05-08,7721
2021-05-09,9328
2021-05-10,12900
2021-05-11,21629
2021-05-12,23476
2021-05-13,11338
2021-05-14,11149
2021-05-15,8487
2021-05-16,7161
2021-05-17,8936
2021-05-18,9024
2021-05-19,9401
2021-05-20,11507
2021-05-21,6867
2021-05-22,4734
2021-05-23,7269
2021-05-24,6769
2021-05-25,50696
2021-05-26,20626
2021-05-27,26543
2021-05-28,8023
2021-05-29,7603
2021-05-30,8923
2021-05-31,15021
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,4853
2021-06-17,3305
2021-06-18,3160
2021-06-19,2899
2021-06-20,3732
2021-06-21,3622
2021-06-22,5227
2021-06-23,4760
2021-06-24,2923
2021-06-25,3085
2021-06-26,5449
2021-06-27,17836
2021-06-28,4987
2021-06-29,3091
2021-06-30,2311
2021-07-01,2715
2021-07-02,2869
2021-07-03,2589
2021-07-04,2397
2021-07-05,5797
2021-07-06,3860
2021-07-07,3355
2021-07-08,2612
2021-07-09,2235
2021-07-10,3105
2021-07-11,2359
2021-07-12,1900
2021-07-13,2339
2021-07-14,2264
2021-07-15,2264
2021-07-16,2233
2021-07-17,1701
2021-07-18,1636
2021-07-19,1949
2021-07-20,1904
2021-07-21,1801
2021-07-22,1976
2021-07-23,2029
2021-07-24,1935
2021-07-25,2022
2021-07-26,3111
2021-07-27,2258
2021-07-28,2312
2021-07-29,2495
2021-07-30,2596
2021-07-31,2908
2021-08-01,3337
2021-08-02,10576
2021-08-03,6629
2021-08-04,4928
2021-08-05,5994
2021-08-06,4368
2021-08-07,4283
2021-08-08,4007
2021-08-09,5074
2021-08-10,5601
2021-08-11,8630
2021-08-12,6139
2021-08-13,18074
2021-08-14,11810
2021-08-15,18612
2021-08-16,12427
2021-08-17,18557
2021-08-18,14669
2021-08-19,12573
