DATE,TXS,FEE_PAYERS,DEX
2023-04-14,2,2,Mango Markets
2023-04-14,432,68,Serum
2023-04-14,10927,7131,Stepn
2023-04-14,1844300,9482,Jupiter Aggregator
2023-04-14,21749,1112,Orca
2023-04-14,302,8,Saber
2023-04-14,1082061,183,Openbook
2023-04-14,1510,4,Step Finance
2023-04-14,8,1,Invariant
2023-04-14,5527,5,Lifinity
2023-04-14,41060,1605,Raydium
2023-04-14,14,8,Mercurial
2023-04-14,83994,1,GooseFX
2023-04-14,1982,28,Aldrin
2023-04-14,2,2,Cykura
2023-02-22,1135366,240,Openbook
2023-02-22,171569,10943,Jupiter Aggregator
2023-02-22,747,4,Lifinity
2023-02-22,8,1,Invariant
2023-02-22,82234,1,GooseFX
2023-02-22,25363,1941,Raydium
2023-02-22,15593,1411,Orca
2023-02-22,20,13,Mercurial
2023-02-22,2621,31,Aldrin
2023-02-22,166,69,Serum
2023-02-22,80,16,Saber
2023-02-22,11841,7852,Stepn
2023-02-22,14,4,Step Finance
2023-02-09,82629,1,GooseFX
2023-02-09,9,3,Invariant
2023-02-09,932,101,Serum
2023-02-09,95,10,Saber
2023-02-09,201548,12504,Jupiter Aggregator
2023-02-09,82867,2692,Raydium
2023-02-09,203,7,Lifinity
2023-02-09,11074,7527,Stepn
2023-02-09,1076404,263,Openbook
2023-02-09,2392,36,Aldrin
2023-02-09,119,4,Step Finance
2023-02-09,17943,1385,Orca
2023-02-09,57,25,Mercurial
2023-03-21,340,10,Saber
2023-03-21,19580,1057,Orca
2023-03-21,3929369,185,Openbook
2023-03-21,1,1,Cykura
2023-03-21,2454,3,Step Finance
2023-03-21,10006,6636,Stepn
2023-03-21,66007,1555,Raydium
2023-03-21,4293470,8774,Jupiter Aggregator
2023-03-21,5688,6,Lifinity
2023-03-21,1945,36,Aldrin
2023-03-21,3,1,Invariant
2023-03-21,188,28,Serum
2023-03-21,13,9,Mercurial
2023-03-21,84270,2,GooseFX
2023-08-27T00:00:00.000Z,43,7,Saber
2023-08-27T00:00:00.000Z,1586,3,Lifinity
2023-08-27T00:00:00.000Z,98,33,Serum
2023-08-27T00:00:00.000Z,374454,63,Openbook
2023-08-27T00:00:00.000Z,14047,1036,Raydium
2023-08-27T00:00:00.000Z,6,2,Invariant
2023-08-27T00:00:00.000Z,3,2,Mercurial
2023-08-27T00:00:00.000Z,720359,5291,Jupiter Aggregator
2023-08-27T00:00:00.000Z,5030,3505,Stepn
2023-08-27T00:00:00.000Z,113,3,Aldrin
2023-08-27T00:00:00.000Z,1,1,Mango Markets
2023-08-27T00:00:00.000Z,27159,1012,Orca
2023-08-27T00:00:00.000Z,38,2,Step Finance
