TYPE,DATE,WALLETS,DEX
Fee Payers,2023-03-22,1,GooseFX
Fee Payers,2023-03-22,6,Saber
Fee Payers,2023-03-22,1,Cykura
Signers,2023-03-22,67,Aldrin
Fee Payers,2023-03-22,192,Openbook
Signers,2023-03-22,5,Lifinity
Fee Payers,2023-03-22,39,Serum
Fee Payers,2023-03-22,4,Invariant
Signers,2023-03-22,4,Invariant
Signers,2023-03-22,23908,Stepn
Signers,2023-03-22,7,Step Finance
Signers,2023-03-22,8720,Jupiter Aggregator
Signers,2023-03-22,1,GooseFX
Signers,2023-03-22,1529,Openbook
Signers,2023-03-22,3506,Raydium
Signers,2023-03-22,41,Serum
Signers,2023-03-22,1,Cykura
Fee Payers,2023-03-22,6247,Stepn
Signers,2023-03-22,18,Mercurial
Fee Payers,2023-03-22,5,Lifinity
Fee Payers,2023-03-22,1414,Raydium
Fee Payers,2023-03-22,8522,Jupiter Aggregator
Signers,2023-03-22,6,Saber
Fee Payers,2023-03-22,27,Aldrin
Fee Payers,2023-03-22,8,Mercurial
Fee Payers,2023-03-22,5,Step Finance
Signers,2023-03-22,8951,Orca
Fee Payers,2023-03-22,988,Orca
Signers,2023-06-29T00:00:00.000Z,1,Mango Markets
Fee Payers,2023-06-29T00:00:00.000Z,2,Invariant
Signers,2023-06-29T00:00:00.000Z,9572,Orca
Fee Payers,2023-06-29T00:00:00.000Z,3898,Stepn
Fee Payers,2023-06-29T00:00:00.000Z,1,Mango Markets
Fee Payers,2023-06-29T00:00:00.000Z,947,Orca
Fee Payers,2023-06-29T00:00:00.000Z,1239,Raydium
Fee Payers,2023-06-29T00:00:00.000Z,26,Serum
Signers,2023-06-29T00:00:00.000Z,1,Cykura
Signers,2023-06-29T00:00:00.000Z,27,Serum
Fee Payers,2023-06-29T00:00:00.000Z,3,Lifinity
Signers,2023-06-29T00:00:00.000Z,3,Lifinity
Signers,2023-06-29T00:00:00.000Z,7,Aldrin
Signers,2023-06-29T00:00:00.000Z,7,Saber
Fee Payers,2023-06-29T00:00:00.000Z,1,Cykura
Signers,2023-06-29T00:00:00.000Z,15282,Stepn
Fee Payers,2023-06-29T00:00:00.000Z,5,Saber
Signers,2023-06-29T00:00:00.000Z,3,Step Finance
Fee Payers,2023-06-29T00:00:00.000Z,7213,Jupiter Aggregator
Signers,2023-06-29T00:00:00.000Z,2508,Raydium
Fee Payers,2023-06-29T00:00:00.000Z,7,Aldrin
Signers,2023-06-29T00:00:00.000Z,1,GooseFX
Fee Payers,2023-06-29T00:00:00.000Z,95,Openbook
Fee Payers,2023-06-29T00:00:00.000Z,1,GooseFX
Fee Payers,2023-06-29T00:00:00.000Z,3,Step Finance
Signers,2023-06-29T00:00:00.000Z,299,Openbook
Signers,2023-06-29T00:00:00.000Z,7246,Jupiter Aggregator
