Mint,Collection,Name,Id,Image,Howrare Url,Rank,Attribute count,Attribute count Rarity,Gender,Gender Rarity,Type,Type Rarity,Expression,Expression Rarity,Hat,Hat Rarity,Eyes,Eyes Rarity,Clothing,Clothing Rarity,Background,Background Rarity,Hair,Hair Rarity,Mustache,Mustache Rarity,Smoking,Smoking Rarity,Smoke,Smoke Rarity,Effort,Effort Rarity,Mouth,Mouth Rarity,Hand,Hand Rarity,Glove,Glove Rarity,Back,Back Rarity,Necklace,Necklace Rarity,howrare.is Rank,trait_normalized Rank,statistical_rarity Rank
F9Lw3ki3hJ7PF9HQXsBzoY8GyE6sPoEZZdXJBsTTD2rk,Mad Lads,Mad Lads #8420,8420,https://madlads.s3.us-west-2.amazonaws.com/images/8420.png,https://howrare.is/madlads/8420,1,7,45.79,Male,85.74,King,0.01,Royal,0.01,Mad Crown,0.01,Madness,0.01,Mad Armor,0.01,Royal Rug,0.01,None,36.51,None,95.84,None,82.76,None,72.68,None,95.34,None,90.51,None,82.22,None,82.22,None,96.86,None,99.91,1,1,1
whSxaMUmZ66xTj7ZLkx28T9Nzwgc1chWZmoPSyovgJC,Mad Lads,Mad Lads #3587,3587,https://madlads.s3.us-west-2.amazonaws.com/images/3587.png,https://howrare.is/madlads/3587,2,9,22.75,Female,9.60,Galaxy,4.00,Serious,19.55,Galaxy Cloche,0.01,Galaxy,4.00,Galaxy Wolfsbane Dress,0.01,Violet,9.30,Short Red,1.17,None,95.84,None,82.76,None,72.68,None,95.34,Red,3.92,None,82.22,None,82.22,None,96.86,None,99.91,2,2,23
GD8uA8KG5NzbDXj8jPeEJxEuT5twwVUyqp9jzaTQBr9B,Mad Lads,Mad Lads #1055,1055,https://madlads.s3.us-west-2.amazonaws.com/images/1055.png,https://howrare.is/madlads/1055,3,9,22.75,Female,9.60,Light,53.41,Pout,0.78,Scopes,0.96,Green,17.48,Punk Rock Jacket,0.42,White,9.43,Bouffant Green,0.01,None,95.84,None,82.76,None,72.68,None,95.34,Red,3.92,None,82.22,None,82.22,None,96.86,None,99.91,3,4,126
9GhncSaZkq8ciNVEwBpYNkL1vNCezFUFaeG7AX5soCJU,Mad Lads,Mad Lads #8826,8826,https://madlads.s3.us-west-2.amazonaws.com/images/8826.png,https://howrare.is/madlads/8826,4,8,13.51,Female,9.60,Light,53.41,Cheeky,0.61,None,68.34,Closed,15.98,Noir Dress,0.87,Orange,9.44,Bombshell Galaxy,0.01,None,95.84,None,82.76,None,72.68,None,95.34,Tongue,0.61,None,82.22,None,82.22,None,96.86,None,99.91,4,3,262
AMb9XGm8bPNi8hC7cUg2z7vFWEZtK2N4ZJCUSimdS9pK,Mad Lads,Mad Lads #1313,1313,https://madlads.s3.us-west-2.amazonaws.com/images/1313.png,https://howrare.is/madlads/1313,5,10,8.83,Female,9.60,Dark,27.93,Smile,14.84,None,68.34,Blue,17.10,Evangelion,0.03,Grey,9.33,Long Blonde,0.38,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,Lightning Umbrella,0.08,Green,0.08,None,96.86,None,99.91,5,9,12
HDD4hCc4mvJHPjZELFtnCG36bCchXC1yTB64XWpuMJsQ,Mad Lads,Mad Lads #7857,7857,https://madlads.s3.us-west-2.amazonaws.com/images/7857.png,https://howrare.is/madlads/7857,6,9,22.75,Female,9.60,Dark,27.93,Serious,19.55,Wide Brim,0.12,Brown,16.77,Currie Gown,0.03,Grey,9.33,Medium Red,0.08,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,6,57,118
9URR3e4QPTGkqnJMBGtX4TjbBZyM5o3utXcRCFWu6bvu,Mad Lads,Mad Lads #1679,1679,https://madlads.s3.us-west-2.amazonaws.com/images/1679.png,https://howrare.is/madlads/1679,7,11,3.00,Female,9.60,Dark,27.93,Serious,19.55,Cartwheel,0.15,Snake,2.56,Currie Gown,0.03,White,9.43,Long Purple,0.58,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,Avenger,1.02,White,2.22,None,96.86,None,99.91,7,65,6
AnAfxG2AZs8k45QxKnHZpKyz5NtVrTqEufzatr5GVAEL,Mad Lads,Mad Lads #6509,6509,https://madlads.s3.us-west-2.amazonaws.com/images/6509.png,https://howrare.is/madlads/6509,8,9,22.75,Female,9.60,Light,53.41,Cheeky,0.61,Wide Brim,0.12,Closed,15.98,Lace Blouse,0.33,Purple,9.67,Medium White,0.04,None,95.84,None,82.76,None,72.68,None,95.34,Tongue,0.61,None,82.22,None,82.22,None,96.86,None,99.91,8,19,40
Mh92qzGfp9Ub8tM4gZdHrd6UKg2thn2MnZWRXduxQbY,Mad Lads,Mad Lads #1995,1995,https://madlads.s3.us-west-2.amazonaws.com/images/1995.png,https://howrare.is/madlads/1995,9,8,13.51,Female,9.60,Light,53.41,Smile,14.84,None,68.34,Brown,16.77,Currie Gown,0.03,Grey,9.33,Bouffant,0.19,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,9,250,704
CYKWzjxDyZu2ms3XwNdzaGpvxJP5uutD71L4wnfEanDB,Mad Lads,Mad Lads #8609,8609,https://madlads.s3.us-west-2.amazonaws.com/images/8609.png,https://howrare.is/madlads/8609,10,9,22.75,Female,9.60,Light,53.41,Cheeky,0.61,Wide Brim,0.12,Closed,15.98,Rosa Dress,0.50,Red,9.85,Medium White,0.04,None,95.84,None,82.76,None,72.68,None,95.34,Tongue,0.61,None,82.22,None,82.22,None,96.86,None,99.91,10,20,51
642zCikjCHunVcy2aBZDYwTs1vPKEQQfVk7F8SLdpQ1T,Mad Lads,Mad Lads #4065,4065,https://madlads.s3.us-west-2.amazonaws.com/images/4065.png,https://howrare.is/madlads/4065,11,9,22.75,Female,9.60,Light,53.41,Mad,8.81,Wide Brim,0.12,Purple,0.80,Rosa Dress,0.50,Grey,9.33,Medium White,0.04,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,11,22,90
yR917neJi1GhHS5oVo8wSRYxUoPDSNcjMtU1Ex6TsZo,Mad Lads,Mad Lads #8182,8182,https://madlads.s3.us-west-2.amazonaws.com/images/8182.png,https://howrare.is/madlads/8182,12,8,13.51,Female,9.60,Galaxy,4.00,Smile,14.84,None,68.34,Galaxy,4.00,Evangelion,0.03,Blue,9.70,Bob Red,0.41,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,12,381,366
GkB7LdKBqTuktusGg9K3Lgm3KHEFxb1ZKuGsH9eMdpem,Mad Lads,Mad Lads #225,225,https://madlads.s3.us-west-2.amazonaws.com/images/225.png,https://howrare.is/madlads/225,13,9,22.75,Female,9.60,Light,53.41,Joy,15.37,Wide Brim,0.12,Closed,15.98,Victorian Dress,0.38,Violet,9.30,Medium White,0.04,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,13,23,203
9LTCKwsVasNEnTAdykAY916iJMeJANijJNp7WUZBaS8R,Mad Lads,Mad Lads #5998,5998,https://madlads.s3.us-west-2.amazonaws.com/images/5998.png,https://howrare.is/madlads/5998,14,8,13.51,Female,9.60,Light,53.41,Smile,14.84,None,68.34,Green,17.48,Evangelion,0.03,Yellow,9.28,Blunt Bangs Black,0.50,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,None,82.22,None,82.22,None,96.86,None,99.91,14,468,882
34azRL4sdZhoRfTviGd2xDxZ3tzTCkTo3qhwqPpgGQGX,Mad Lads,Mad Lads #6894,6894,https://madlads.s3.us-west-2.amazonaws.com/images/6894.png,https://howrare.is/madlads/6894,15,12,0.13,Female,9.60,Galaxy,4.00,Smile,14.84,Cloche,0.74,Galaxy,4.00,Buster,2.55,Orange,9.44,Short Red,1.17,None,95.84,None,82.76,None,72.68,None,95.34,Red,3.92,Buster,0.23,Black,0.05,Backpack,2.55,None,99.91,15,5,2
xoSZvNyuKANKF4Xi8srJ4HBrG9UtRAfJPTRyL3nAZ97,Mad Lads,Mad Lads #1545,1545,https://madlads.s3.us-west-2.amazonaws.com/images/1545.png,https://howrare.is/madlads/1545,16,12,0.13,Female,9.60,Light,53.41,Joy,15.37,Cloche,0.74,Closed,15.98,Buster,2.55,Violet,9.30,Short Red,1.17,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,Buster,0.23,Black,0.05,Backpack,2.55,None,99.91,16,6,7
5B2bndzQK36NWJecQKJJATyrXRY2mextRn85wbES19k2,Mad Lads,Mad Lads #8096,8096,https://madlads.s3.us-west-2.amazonaws.com/images/8096.png,https://howrare.is/madlads/8096,17,11,3.00,Female,9.60,Light,53.41,Smile,14.84,None,68.34,Blue,17.10,Black Rebel Jacket,0.37,Purple,9.67,Blunt Bangs Blonde,0.48,None,95.84,None,82.76,None,72.68,None,95.34,Pink,3.79,Lightning Umbrella,0.08,Green,0.08,Red Katana,0.32,None,99.91,17,7,4
