blockchain,creator,address,label_type,label_subtype,label,address_name,__row_index
solana,flipside,781wH11JGQgEoBkBzuc8uoQLtp8KxeHk1yZiS1JhFYKy,chadmin,general_contract,solana,solana phone preorder,0
solana,flipside,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,nft,marketplace,solanart,Solanart NFT Marketplace,1
solana,flipside,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw,dapp,governance,realms,realms general contract,2
solana,flipside,GovHgfDPyQ1GwazJTDY2avSVY8GGcpmCapmmCsymRaGe,dapp,governance,realms,psy finance,3
solana,flipside,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,dex,pool,orca,orca whirlpool program,4
solana,flipside,worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth,layer2,bridge,wormhole,wormhole,5
solana,flipside,wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb,layer2,bridge,wormhole,wormhole,6
solana,flipside,AzcK7Dth1CG2PoYPpTAYRymctM8d9xoT3VEKos5kUKrH,defi,general_contract,upfi,upfi,7
solana,flipside,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,dex,general_contract,raydium,raydium clamm program,8
solana,flipside,CMZYPASGWeTz7RNGHaRJfCq2XQ5pYK6nDvVQxzkH51zb,nft,contract_deployer,opensea,opensea: forked candy machine,9
solana,flipside,LCNTy2Q4HsKUecKEETwwzujjbAx9DGFJort8SjGzGFj,nft,general_contract,ladder caster,ladder caster,10
solana,flipside,RainEraPU5yDoJmTrHdYynK9739GkEfDsE4ffqce2BR,defi,general_contract,rain finance,rain finance,11
solana,flipside,SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP,defi,general_contract,shark finance,shark finance,12
solana,flipside,2KehYt3KsEQR53jYcxjbQp2d2kCp4AkuQW68atufRwSr,defi,general_contract,symmetry,symmetry ,13
solana,flipside,2c54pLrGpQdGxJWUAoME6CReBrtDbsx5Tqx4nLZZo6av,dapp,general_contract,light protocol,light protocol,14
solana,flipside,2nAAsYdXF3eTQzaeUQS3fr4o782dDg8L28mX39Wr5j8N,dex,staking_contract,raydium,raydium francium farm,15
solana,flipside,5GaBD7yyLh1TFSJcG9H9j4jSHFMsK8xaJU68NaCLJsvN,defi,general_contract,upfi,upfi,16
solana,flipside,DDZDcYdQFEMwcu2Mwo75yGFjJ1mUQyyXLWzhZLEVFcei,dapp,general_contract,audius,audius,17
solana,flipside,R2y9ip6mxmWUj4pt54jP2hz2dgvMozy9VTSwMWE7evs,defi,general_contract,psyoptions,psyoptions - american protocol dao,18
solana,flipside,FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,dapp,oracle,pyth,pyth oracle,19
