BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,chadmin,general_contract,solana,associated token account
solana,flipside,5sGZEdn32y8nHax7TxEyoHuPS3UXfPWtisgm8kqxat8H,dapp,governance,realms,phantasia
solana,flipside,HT19EcD68zn7NoCF79b2ucQF8XaMdowyPt5ccS6g1PUx,dapp,governance,realms,ratio finance
solana,flipside,CBuCnLe26faBpcBP2fktp4rp8abpcAnTWft6ZrP5Q4T,dex,pool,raydium,raydium stake v4
solana,flipside,781wH11JGQgEoBkBzuc8uoQLtp8KxeHk1yZiS1JhFYKy,chadmin,general_contract,solana,solana phone preorder
solana,flipside,LendZqTs7gn5CTSJU1jWKhKuVpjJGom45nnwPb2AMTi,chadmin,general_contract,solana,token lending program
solana,flipside,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,dex,swap_router,mercurial,Mercurial Stable Swap
solana,flipside,MEisE1HzehtrDpAAT8PnLHjpSSkRYakotTuJRPjTpo8,nft,marketplace,magic eden,Magic Eden Marketplace
solana,flipside,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,defi,general_contract,marinade finance,Marinade Finance
solana,flipside,Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,chadmin,general_contract,solana,memo program
solana,flipside,MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr,chadmin,general_contract,solana,memo program
solana,flipside,11111111111111111111111111111111,chadmin,general_contract,solana,systeminstruction
solana,flipside,6FJon3QE27qgPVggARueB22hLvoh22VzJpXv4rBEoSLF,chadmin,general_contract,solana,ido program
solana,flipside,Ghope52FuF6HU3AAhJuAAyS2fiqbVhkAotb7YprL5tdS,dapp,governance,realms,realms general contract 2
solana,flipside,GmtpXy362L8cZfkRmTZMYunWVe8TyRjX5B7sodPZ63LJ,dapp,governance,realms,metaplex foundation
solana,flipside,GovER5Lthms3bLBqWub97yVrMmEogzX7xNjdXpPPCVZw,dapp,governance,realms,realms general contract
solana,flipside,GovHgfDPyQ1GwazJTDY2avSVY8GGcpmCapmmCsymRaGe,dapp,governance,realms,psy finance
solana,flipside,82yxjeMsvaURa4MbZZ7WZZHfobirZYkH1zF8fmeGtyaQ,dex,pool,orca,ORCA Aquafarm
solana,flipside,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,dex,pool,raydium,Raydium Liquidity Pool V4
solana,flipside,7t8zVJtPCFAqog1DcnB6Ku1AVKtWfHkCiPi1cAvcJyVF,nft,marketplace,digitaleyes,digitaleyes direct sell
solana,flipside,gSF1T5PdLc2EutzwAyeExvdW27ySDtFp88ri5Aymah6,dapp,governance,realms,sctf1
solana,flipside,gUAedF544JeE6NYbQakQvribHykUNgaPJqcgf3UQVnY,dapp,governance,realms,ukraine
solana,flipside,EhhTKczWMGQt46ynNeRX1WfeagwwJd7ufHvCDjRxjo5Q,dex,general_contract,raydium,Raydium Stake
solana,flipside,Port7uDYB3wk6GJAw4KT1WpTeMtSu9bTcChBHkX2LfR,defi,general_contract,port finance,Port Finance V1.0
solana,flipside,PrtedjXEcbH2SCgvL1oA1rFGxAr2UgZvqxQGxN2ErDT,defi,general_contract,port finance,port finance canary
solana,flipside,RVKd61ztZW9GUwhRbbLoYVRE5Xf1B2tVscKqwZqXgEr,dex,pool,raydium,raydium liquidity pool v2
solana,flipside,SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy,chadmin,general_contract,solana,stake pool program
solana,flipside,SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,defi,general_contract,saros,saros amm
solana,flipside,SSwpMgqNDsyV7mAgN9ady4bDVu5ySjmmXejXvy2vLt1,defi,general_contract,step finance,step finance swap program
solana,flipside,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,dex,swap_router,saber,Saber Stable Swap
solana,flipside,So1endDq2YkqhipRh3WViPa8hdiSpxWy6z3Z6tMCpAo,defi,general_contract,solend,SOLend Protocol
solana,flipside,GMnke6kxYvqoAXgbFGnu84QzvNHoqqTnijWSXYYTFQbB,dapp,governance,realms,monkedao
solana,flipside,GMpXgTSJt2nJ7zjD1RwbT2QyPhKqD2MjAZuEaLsfPYLF,dapp,governance,realms,metaplex genesis
solana,flipside,HajXYaDXmohtq2ZxZ6QVNEpqNn1T53Zc9FnR1CnaNnUf,defi,general_contract,parrot defi,parrot finance
solana,flipside,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,dex,swap_router,orca,ORCA Token Swap V2
solana,flipside,J9uWvULFL47gtCPvgR3oN7W357iehn5WF2Vn9MJvcSxz,dapp,governance,realms,orca dao
solana,flipside,JD3bq9hGdy38PuWQ4h2YJpELmHVGPPfFSuFkpzAd9zfu,dex,general_contract,mango markets,mango markets v1
solana,flipside,JPGov2SBA6f7XSJF5R4Si5jEJekGiyrwP2m7gSEqLUs,dapp,governance,realms,jet dao
solana,flipside,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,dex,aggregator_contract,jupiter,jupiter aggregator v2
solana,flipside,JUP6i4ozu5ydDCnLiMogSckDPpbtr7BJ4FtzYWkb5Rk,dex,aggregator_contract,jupiter,jupiter aggregator v1
solana,flipside,KeccakSecp256k11111111111111111111111111111,chadmin,general_contract,solana,new_secp256k1_instruction
solana,flipside,ALLGnZikNaJQeN4KCAbDjZRSzvSefUdeTpk18yfizZvT,dapp,governance,realms,allovr dao
solana,flipside,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,dex,general_contract,aldrin,aldrin amm
solana,flipside,FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,dapp,oracle,pyth,pyth oracle
solana,flipside,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,dex,swap_router,orca,orca token swap
solana,flipside,Ed25519SigVerify111111111111111111111111111,chadmin,general_contract,solana,new_ed25519_instruction
solana,flipside,vau1zxA2LbssAUEF7Gpw91zMM1LvXrvpzJtmZ58rPsn,nft,general_contract,metaplex,metaplex token vault
solana,flipside,5fNfvyp5czQVX77yoACa3JJVEhdRaWjPuazuWgjhTqEH,dex,general_contract,mango markets,mango markets v2
