BLOCKCHAIN,CREATOR,ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,LABEL,ADDRESS_NAME
solana,flipside,5sGZEdn32y8nHax7TxEyoHuPS3UXfPWtisgm8kqxat8H,dapp,governance,realms,phantasia
solana,flipside,GCockTxUjxuMdojHiABVZ5NKp6At8eTKDiizbPjiCo4m,dapp,governance,realms,chicken tribe
solana,flipside,6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,defi,general_contract,apricot,apricot finance program
solana,flipside,HvwYjjzPbXWpykgVZhqvvfeeaSraQVnTiQibofaFw9M7,defi,general_contract,atrix,atrix finance pool program
solana,flipside,LendZqTs7gn5CTSJU1jWKhKuVpjJGom45nnwPb2AMTi,chadmin,general_contract,solana,token lending program
solana,flipside,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,nft,marketplace,magic eden,magiceden v2 program
solana,flipside,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,dex,swap_router,mercurial,Mercurial Stable Swap
solana,flipside,MEisE1HzehtrDpAAT8PnLHjpSSkRYakotTuJRPjTpo8,nft,marketplace,magic eden,Magic Eden Marketplace
solana,flipside,MRGNWSHaWmz3CPFcYt9Fyh8VDcvLJyy2SCURnMco2bC,defi,general_contract,marginfi,marginfi program
solana,flipside,MSPCUMbLfy2MeT6geLMMzrUkv1Tx88XRApaVRdyxTuu,dapp,token_contract,mean finance,mean finance msp v2
solana,flipside,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,defi,general_contract,marinade finance,Marinade Finance
solana,flipside,Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,chadmin,general_contract,solana,memo program
solana,flipside,MemoSq4gqABAXKb96qnH8TysNcWxMyWCqXgDLGmfcHr,chadmin,general_contract,solana,memo program
solana,flipside,NAZAREQQuCnkV8CpkGZaoB6ccmvikM8uRr4GKPWwmPT,defi,general_contract,nazere,nazare program
solana,flipside,PSYFiYqguvMXwpDooGdYV6mju92YEbFobbvW617VNcq,defi,general_contract,psyfinance,psyfinance v2 program
solana,flipside,Port7uDYB3wk6GJAw4KT1WpTeMtSu9bTcChBHkX2LfR,defi,general_contract,port finance,Port Finance V1.0
solana,flipside,QMMD16kjauP5knBwxNUJRZ1Z5o3deBuFrqVjBVmmqto,defi,general_contract,quarry,quarry merge mine
solana,flipside,QMNeHCGYnLVDn1icRAfQZpjPLBNkfGbSKRB83G5d8KB,defi,general_contract,quarry,quarry mine
solana,flipside,QRDxhMw1P2NEfiw5mYXG79bwfgHTdasY2xNP76XSea9,defi,general_contract,quarry,quarry redeemer
solana,flipside,EUqojwWA2rd19FZrzeBncJsm38Jm1hEhE3zsmX3bRc2o,dex,general_contract,serum,serum dex v2
solana,flipside,WormT3McKhFJ2RkiGpdw9GKvNCrB2aB54gb2uV9MfQC,layer2,bridge,wormhole,wormhole
solana,flipside,WvmTNLpGMVbwJVYztYL4Hnsy82cJhQorxjnnXcRm3b6,dapp,pool,bonfida,bonfida pool
solana,flipside,Vote111111111111111111111111111111111111111,chadmin,general_contract,solana,voteinstruction
solana,flipside,GMnke6kxYvqoAXgbFGnu84QzvNHoqqTnijWSXYYTFQbB,dapp,governance,realms,monkedao
solana,flipside,3HUeooitcfKX1TSCx2xEpg2W31n6Qfmizu7nnbaEWYzs,defi,general_contract,cega,cega program
solana,flipside,3Katmm9dhvLQijAvomteYMo6rfVbY5NaCRNq9ZBqBgr6,defi,general_contract,francium,francium lending reward program
solana,flipside,8RfV7fpMZFC9cmkq45z3u7vPEhgECZHP5dqfiePrNpaA,defi,general_contract,amulet,amulets poolprogram
solana,flipside,781wH11JGQgEoBkBzuc8uoQLtp8KxeHk1yZiS1JhFYKy,chadmin,general_contract,solana,solana phone preorder
solana,flipside,StaKe9nb7aUjXpjpZ45o6uJBsZxj2BWCDBtjk8LCg2v,nft,general_contract,genopets ,genopets : general contract
solana,flipside,72D3En8GQycjtunxf9mgyR8onzYdPqYFsKp4myUzhaRZ,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,CrAFTUv7zKXBaS5471aCwHx7mq9Jp1eQQB5FQgdiSLyi,nft,general_contract,genopets ,genopets : general contract
solana,flipside,GvZH4TH7tx3h5wDmUqA6ud2L79vSphUfBp7oufva6nZk,nft,general_contract,nuked apes,nuked apes: general contract
solana,flipside,huntVk4a8JKqNm3yYQTJJPWJgcWyhEEyVtZ4Kh14jSb,nft,general_contract,genopets ,genopets : general contract
solana,flipside,srmv4uTCPF81hWDaPyEN2mLZ8XbvzuEM6LsAxR8NpjU,nft,general_contract,genopets ,genopets : general contract
solana,flipside,BbGozDEfDKJbqxkSDjcDLWdQfxeZnnoTgD5VhNXV7epn,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,iktEW1D5rZ4n12rqEa5Req9i4s1qLXtsrzHKXDu6ttN,token,general_contract,wonder,wonder: general contract
solana,flipside,6NcdQ5WTnrPoMLbP4kvpLYa4YSwKqkNHRRE8XVf5hmv9,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,B4RXtjgugAkn7g6kvPzTmRDiCLe5fsiwYULF9JYQFXei,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,pVote9oe2CcmLxQTNHbF1eLQTQXNkh5XLNPR9ZuQjBf,nft,general_contract,pesky penguins,pesky penguins: general contract
solana,flipside,JCFRaPv7852ESRwJJGRy2mysUMydXZgVVhrMLmExvmVp,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,8BYmYs3zsBhftNELJdiKsCN2WyCBbrTwXd6WG4AFPr6n,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,6FR6i39zAwFBkCCWd2yA7J2q9XSjRJx7qrLpGGLwZSNE,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,wndrtYz8sdCDfnXcjYJfLbkacZCQWShywGMECAxNsn9,token,general_contract,wonder,wonder: general contract
solana,flipside,8guzmt92HbM7yQ69UJg564hRRX6N4nCdxWE5L6ENrA8P,nft,general_contract,famous fox federation,famous fox federation: general contract
solana,flipside,9ehXDD5bnhSpFVRf99veikjgq8VajtRH7e3D9aVPLqYd,nft,general_contract,famous fox federation,famous fox federation: general contract
