FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
System Program,,programs,,"custom,devnet,testnet,mainnet",[],,,11111111111111111111111111111111
Serum Swap Program,Serum Swap Program,programs,,mainnet,[],https://assets.website-files.com/61382d4555f82a75dc677b6f/61ff21f9dcce3b42bfe4135c_serum%20NOF.png,scammed,22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD
Raydium Liquidity Pool Program v2,,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,,27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv
Cega Program,Cega Program,programs,,mainnet,[],,,3HUeooitcfKX1TSCx2xEpg2W31n6Qfmizu7nnbaEWYzs
Francium Lending Reward Program,Lending Reward,programs,,mainnet,"['lending', 'reward']",https://pbs.twimg.com/profile_images/1476861175023353857/Srga_3kj_400x400.jpg,,3Katmm9dhvLQijAvomteYMo6rfVbY5NaCRNq9ZBqBgr6
Mean Finance DDCA Program,Mean Finance DDCA Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1511040310344044544/ksia9GiX_400x400.jpg,,3nmm1awnyhABJdoA25MYVksxz1xnpUFeepJJyRTZfsyD
Elusiv Program,Sol,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1588185632668635136/s5Mr_4AM_400x400.jpg,,4CgyHKuP6yi1vbmcdsArngEKcETR4nZupqYEMk2hEoQd
Tulip Protocol Lending Program,Tulip Protocol Lending Program,programs,,mainnet,"['Defi', 'Lending']",https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,4bcFeLv4nydFrsZqV5CgwCVrPhkQKsXtzfy2KyMz7ozM
Mean Finance IDO Program,Mean Finance IDO Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1511040310344044544/ksia9GiX_400x400.jpg,,4p3C44cNJnCCaeBaKNDi4DbXRgBs7zQDbPhBoqstH2Mv
Tulip | Pyth Price Feed Manager,Tulip | Pyth Price Feed Manager,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/200x200/10373.png,,5JQ8Mhdp2wv3HWcfjq9Ts8kwzCAeBADFBDAgBznzRsE4
Amulet's QuotationProgram,Amulet's QuotationProgram,programs,,mainnet,[],https://avatars.githubusercontent.com/u/93768966?s=280&v=4,,5LJNJevFdTDnCjbAeEFsN2oGSxESBLuSodvdUy5VfBY6
Only1 Program,Only1 Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1454195051022725120/rkvkkIky_400x400.jpg,,5XDdQrpNCD89LtrXDBk5qy4v1BW1zRCPyizTahpxDTcZ
Mango Program v2,,programs,,mainnet,[],,,5fNfvyp5czQVX77yoACa3JJVEhdRaWjPuazuWgjhTqEH
Socean Program,Socean Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1475760736248893440/bVkClqrP_400x400.jpg,,5ocnV1qiCgaQR8Jb8xWnVbApfaygJ8tNoZfgPwsgx9kx
Solsea,Solsea,programs,,mainnet,['Nft Marketplace'],,,617jbWo616ggkDxvW1Le8pV38XLbVSyWY8ae6QUmGBAU
DeFilLand Marketplace Program,DeFilLand Marketplace Program,programs,,mainnet,[],,,657iw8S9b4BG5Vno91DgJk4bqoH3kzPRopngPG8uxWxg
Raydium Liquidity Pool V4,,programs,,mainnet,[],https://s2.coinmarketcap.com/static/img/coins/64x64/8526.png,,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8
Kamino Program,Kamino Program,programs,,mainnet,[],https://pbs.twimg.com/profile_images/1563154884718985216/MPPps3IA_400x400.jpg,,6LtLpnUFNByNXLyCoK9wA2MykKAmQNZKBdY8s47dehDc
Apricot Finance Program,Apricot Finance Program,programs,,mainnet,[],,,6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi
DeGods Bank,DeGods Bank,programs,,mainnet,[],https://uploads-ssl.webflow.com/6190adde0207043d887665cd/620a4521d9114e3baaa296f8_DeGods.png,,6VJpeYFy87Wuv4KvwqD5gyFBTkohqZTqs6LgbCJ8tDBA
