FriendlyName,Abbreviation,Category,VoteKey,Network,Tags,LogoURI,Flag,ADDRESS
Sanctum SOL Reserve Pool,Sanctum SOL Reserve Pool,accounts,,mainnet,[],,,3rBnnH9TTgd3xwu48rnzGsaQkSr1hR64nY71DrDt6VrQ
Mango DAO Wallet Governance,Mango DAO Wallet Governance,accounts,,mainnet,[],,,5tgfd6XgwiXB9otEnzFpXK11m7Q7yZUaAJzWK4oT5UGF
BlazeStake Authority,BlazeStake Authority,accounts,,mainnet,[],https://pbs.twimg.com/profile_images/1471965390485946371/OZJsrfdE_400x400.jpg,,6WecYymEARvjG5ZyqkrVQ6YkhPfujNzWpSPwNKXHCbV2
HashQuark,,validators,CRzMxdyS56N2vkb55X5q155sSdVkjZhiFedWcbscCf7K,mainnet,[],,,6yf57R7U1J1VXszE7CobdYEWQNJMPRfWEgGfaRsVNk32
Binance Exchange,Binance Exchange,accounts,,mainnet,['Exchange'],https://upload.wikimedia.org/wikipedia/commons/5/57/Binance_Logo.png,,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM
Alameda,Alameda,accounts,,mainnet,['mm'],"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/qfkqlginpso3rw0z7qwe",scammed,Bz6zbmbZn2ERVsLq4gUCgqLJCTdWYS1iN59EdSbNoPZv
DokiaCapital,,validators,H3GhqPMwvGLdxWg3QJGjXDSkFSJCsFk3Wx9XBTdYZykc,mainnet,[],,,Dokia75SVtetShgapUBoVFfYjL99fQyr1twxKKyTZKa3
CoinDCX Exchange,CoinDCX Exchange,accounts,,mainnet,['Exchange'],https://coindcx.com/blog/wp-content/uploads/2021/09/ProfilePic.svg,,EhZLSqyWrazhqR5bmyyEfFRa3ycWu9KPgQgQ7G1R9zC9
Bitfinex Exchange Cold Wallet,Bitfinex Exchange Cold Wallet,accounts,,mainnet,['Exchange'],https://www.bitfinex.com/images/thumbnails/bitfinex-2.png,,FyJBKcfcEBzGN74uNxZ95GxnCxeuJJujQCELpPv14ZfN
The Lode (Sentries),,validators,LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,mainnet,[],https://res.cloudinary.com/materwelon/image/upload/v1693843058/solanafm-explorer/logos/thufippkmyn3zy7z06bt.jpg,,LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS
