Date,Address,Cap Label,Interact
2023-06-21,1,Orca,1
2023-06-21,1,Shark Finance,61
2023-06-21,1,Jito Mev,17
2023-06-21,1,Francium,2
2023-06-21,1,Openbook,12
2023-06-21,3,Lido,5
2023-06-20,1,Orca,2
2023-06-20,1,Shark Finance,12
2023-06-20,1,Openbook,8
2023-06-20,1,Jito Mev,16
2023-06-19,1,Realms,1
2023-06-19,1,Larix,1
2023-06-19,1,Openbook,3
2023-06-19,1,Francium,2
2023-06-19,4,Lido,6
2023-06-19,1,Shark Finance,126
2023-06-19,1,Star Atlas,4
2023-06-19,1,Metaplex,11
2023-06-19,1,Jito Mev,13
2023-06-18,1,Marinade Finance,1
2023-06-18,1,Lido,1
2023-06-18,1,Wormhole,1
2023-06-18,1,Shark Finance,170
2023-06-18,1,Jito Mev,20
2023-06-18,1,Openbook,1
2023-06-17,1,Marinade Finance,1
2023-06-17,1,Shark Finance,96
2023-06-17,1,Cardinal,2
2023-06-17,1,Larix,1
2023-06-17,2,Lido,6
2023-06-17,2,Orca,12
2023-06-17,1,Jito Mev,19
2023-06-16,1,Openbook,1
2023-06-16,1,Lido,1
2023-06-16,1,Jito Mev,13
2023-06-16,1,Shark Finance,29
2023-06-16,1,Francium,2
2023-06-15,1,Jito Mev,16
2023-06-15,1,Wormhole,4
2023-06-15,1,Tensorswap,3
2023-06-15,1,Quarry,1
2023-06-15,1,Shark Finance,12
2023-06-15,1,Francium,1
2023-06-14,1,Tensorswap,1
2023-06-14,1,Jito Mev,17
2023-06-14,3,Lido,5
2023-06-14,1,Shark Finance,99
2023-06-14,1,Francium,1
2023-06-13,1,Famous Fox Federation,2
2023-06-13,1,Marinade Finance,1
2023-06-13,2,Metaplex,2
2023-06-13,1,Jito Mev,17
2023-06-13,1,Tensorswap,2
2023-06-13,1,Shark Finance,197
2023-06-12,1,Lido,2
2023-06-12,2,Openbook,3
2023-06-12,1,Larix,1
2023-06-12,1,Star Atlas,5
2023-06-12,1,Francium,2
2023-06-12,1,Shark Finance,65
2023-06-12,1,Jito Mev,15
2023-06-11,1,Incinerator,1
2023-06-11,1,Jito Mev,13
2023-06-11,1,Shark Finance,1
2023-06-11,1,Tensorswap,1
2023-06-10,1,Marinade Finance,1
2023-06-10,2,Wormhole,4
2023-06-10,2,Francium,5
2023-06-10,1,Quarry,1
2023-06-10,1,Openbook,2
2023-06-10,1,Jito Mev,14
2023-06-10,1,Lido,2
2023-06-10,1,Orca,12
2023-06-10,1,Shark Finance,190
2023-06-09,1,Shark Finance,22
2023-06-09,1,Jito Mev,23
2023-06-09,1,Francium,2
2023-06-09,3,Lido,8
2023-06-09,2,Openbook,3
2023-06-08,1,Jito Mev,21
2023-06-08,1,Metaplex,20
2023-06-08,1,Openbook,13
2023-06-08,1,Shark Finance,193
2023-06-07,1,Jito Mev,14
2023-06-07,4,Lido,8
2023-06-07,1,Quarry,1
2023-06-07,1,Francium,2
2023-06-07,1,Larix,2
2023-06-07,1,Openbook,1
2023-06-07,1,Marinade Finance,1
2023-06-07,1,Shark Finance,259
2023-06-07,1,Zeta,2
2023-06-06,1,Marinade Finance,1
2023-06-06,1,Openbook,2
2023-06-06,1,Magic Eden,1
2023-06-06,1,Port Finance,1
2023-06-06,2,Quarry,9
2023-06-06,2,Zeta,7
2023-06-06,1,Larix,1
2023-06-06,1,Cardinal,2
2023-06-06,1,Shark Finance,43
2023-06-06,1,Lido,1
2023-06-06,1,Jito Mev,15
2023-06-06,1,Famous Fox Federation,1
2023-06-05,1,Orca,9
2023-06-05,1,Magic Eden,1
2023-06-05,2,Lido,4
2023-06-05,1,Shark Finance,78
2023-06-05,1,Francium,4
2023-06-05,2,Openbook,5
2023-06-05,1,Larix,1
2023-06-05,1,Famous Fox Federation,4
2023-06-05,1,Jito Mev,17
2023-06-05,1,Amulet,1
2023-06-04,1,Shark Finance,50
2023-06-04,1,Quarry,1
2023-06-04,1,Magic Eden,1
2023-06-04,1,Jito Mev,21
2023-06-04,1,Star Atlas,4
2023-06-04,1,Orca,2
2023-06-03,1,Shark Finance,157
2023-06-03,1,Zeta,1
2023-06-03,1,Larix,3
2023-06-03,1,Jito Mev,25
2023-06-03,1,Serum,1
2023-06-03,1,Orca,1
2023-06-02,2,Francium,4
2023-06-02,1,Raydium,1
2023-06-02,1,Famous Fox Federation,12
2023-06-02,1,Shark Finance,107
2023-06-02,1,Openbook,1
2023-06-02,1,Jito Mev,13
2023-06-02,1,Metaplex,1
2023-06-02,3,Lido,5
2023-06-01,1,Jito Mev,16
2023-06-01,1,Famous Fox Federation,1
2023-06-01,1,Openbook,2
2023-06-01,1,Shark Finance,73
2023-06-01,1,Lido,1
2023-05-31,4,Lido,7
2023-05-31,1,Amulet,1
2023-05-31,1,Shark Finance,69
2023-05-31,1,Jito Mev,13
2023-05-31,1,Metaplex,14
2023-05-31,2,Francium,6
2023-05-31,1,Magic Eden,1
2023-05-30,1,Tensorswap,2
2023-05-30,1,Defiland,1
2023-05-30,1,Francium,2
2023-05-30,1,Shark Finance,115
2023-05-30,1,Quarry,1
2023-05-30,1,Jupiter,1
2023-05-30,1,Jito Mev,9
2023-05-29,1,Zeta,1
2023-05-29,5,Lido,8
2023-05-29,1,Incinerator,5
2023-05-29,1,Orca,11
2023-05-29,1,Shark Finance,100
2023-05-29,1,Jito Mev,5
2023-05-29,1,Star Atlas,3
2023-05-29,1,Bonfida,1
2023-05-29,1,Raydium,1
2023-05-29,3,Francium,8
2023-05-29,1,Amulet,1
2023-05-28,1,Quarry,2
2023-05-28,1,Shark Finance,84
2023-05-28,1,Magic Eden,18
2023-05-28,1,Jito Mev,3
2023-05-28,1,Marinade Finance,1
2023-05-27,1,Shark Finance,134
2023-05-27,2,Magic Eden,5
2023-05-27,1,Openbook,3
2023-05-27,1,Star Atlas,4
2023-05-27,1,Jito Mev,4
2023-05-27,1,Larix,2
2023-05-27,1,Famous Fox Federation,2
2023-05-26,1,Jito Mev,1
2023-05-26,3,Francium,6
2023-05-26,1,Magic Eden,1
2023-05-26,4,Lido,6
2023-05-26,1,Shark Finance,330
2023-05-26,1,Cardinal,2
2023-05-26,1,Larix,3
2023-05-26,1,Amulet,1
2023-05-25,2,Zeta,3
2023-05-25,1,Shark Finance,220
2023-05-25,1,Orca,1
2023-05-25,1,Metaplex,28
2023-05-25,2,Raydium,2
2023-05-25,1,Jito Mev,7
2023-05-25,1,Jupiter,1
2023-05-25,1,Star Atlas,4
2023-05-24,5,Lido,7
2023-05-24,1,Openbook,2
2023-05-24,1,Amulet,1
2023-05-24,1,Metaplex,23
2023-05-24,4,Francium,11
2023-05-24,1,Larix,1
2023-05-24,1,Orca,5
2023-05-24,1,Shark Finance,302
2023-05-24,3,Magic Eden,50
2023-05-23,1,Wormhole,2
2023-05-23,1,Orca,2
2023-05-23,1,Tensorswap,2
2023-05-23,1,Lido,2
2023-05-23,1,Jito Mev,7
2023-05-23,1,Magic Eden,1
2023-05-23,1,Shark Finance,149
2023-05-23,1,Zeta,2
2023-05-23,1,Openbook,2
2023-05-22,1,Openbook,1
2023-05-22,1,Jito Mev,10
2023-05-22,1,Shark Finance,249
2023-05-22,3,Lido,6
2023-05-22,3,Francium,6
2023-05-22,1,Amulet,2
2023-05-21,2,Francium,2
2023-05-21,1,Magic Eden,2
2023-05-21,1,Shark Finance,72
2023-05-21,1,Jito Mev,14
2023-05-21,1,Lido,2
2023-05-20,1,Shark Finance,120
2023-05-20,1,Jupiter,1
2023-05-20,1,Lido,1
2023-05-20,1,Jito Mev,17
2023-05-20,1,Star Atlas,1
2023-05-19,1,Metaplex,1
2023-05-19,1,Raydium,1
2023-05-19,1,Orca,11
2023-05-19,1,Openbook,2
2023-05-19,4,Lido,7
2023-05-19,3,Francium,8
2023-05-19,1,Shark Finance,47
2023-05-19,1,Jito Mev,18
2023-05-18,1,Cardinal,2
2023-05-18,1,Lido,2
2023-05-18,1,Zeta,1
2023-05-18,1,Incinerator,6
2023-05-18,1,Jito Mev,19
2023-05-18,1,Goose Fx,5
2023-05-18,1,Shark Finance,80
2023-05-17,1,Larix,1
2023-05-17,2,Lido,3
2023-05-17,1,Jito Mev,17
2023-05-17,1,Shark Finance,18
2023-05-17,1,Francium,2
2023-05-17,1,Amulet,2
2023-05-17,1,Zeta,1
2023-05-16,1,Jito Mev,10
2023-05-16,3,Francium,4
2023-05-16,1,Tensorswap,1
2023-05-16,1,Metaplex,1
2023-05-16,1,Shark Finance,120
2023-05-16,1,Orca,1
2023-05-16,1,Lido,3
2023-05-15,1,Openbook,3
2023-05-15,1,Tensorswap,1
2023-05-15,2,Zeta,5
2023-05-15,2,Raydium,4
2023-05-15,1,Jito Mev,12
2023-05-15,1,Amulet,3
2023-05-15,3,Lido,5
2023-05-15,1,Shark Finance,270
2023-05-15,4,Francium,13
2023-05-15,1,Marinade Finance,1
2023-05-14,1,Jito Mev,15
2023-05-14,1,Metaplex,4
2023-05-14,1,Francium,2
2023-05-14,2,Openbook,5
2023-05-14,1,Wormhole,2
2023-05-14,1,Tensorswap,4
2023-05-14,1,Serum,1
2023-05-14,1,Shark Finance,41
2023-05-14,1,Lido,1
2023-05-14,1,Cardinal,2
2023-05-14,1,Star Atlas,2
2023-05-13,1,Jito Mev,1
2023-05-13,1,Amulet,1
2023-05-13,1,Francium,1
2023-05-13,1,Serum,2
2023-05-13,1,Quarry,1
2023-05-13,1,Shark Finance,11
2023-05-13,1,Orca,1
2023-05-12,4,Lido,8
2023-05-12,1,Jito Mev,15
2023-05-12,5,Francium,9
2023-05-12,1,Larix,2
2023-05-12,1,Orca,5
2023-05-12,1,Shark Finance,102
2023-05-12,1,Drift,1
2023-05-12,1,Hyperspace,1
2023-05-12,1,Tensorswap,9
2023-05-12,1,Jupiter,1
2023-05-12,1,Raydium,2
2023-05-11,1,Metaplex,8
2023-05-11,1,Jito Mev,9
2023-05-11,1,Quarry,2
2023-05-11,2,Zeta,11
2023-05-11,2,Francium,5
2023-05-11,1,Wormhole,8
2023-05-11,1,Orca,3
2023-05-11,1,Port Finance,1
2023-05-11,1,Lido,1
2023-05-11,1,Drift,2
