NEW_USERS,WEEK
218120,2023-11-20T00:00:00.000Z
26096,2021-06-14
243277,2022-03-14
2871,2021-02-01
76759,2023-07-31T00:00:00.000Z
90415,2022-08-22
15721,2021-02-22
250809,2021-09-06
199706,2021-10-25
20959,2021-06-28
305501,2022-03-28
127985,2023-04-03
127394,2023-10-30T00:00:00.000Z
289478,2022-04-25
171281,2021-12-13
313321,2022-02-07
113450,2022-11-21
412350,2022-04-11
123827,2022-09-19
25600,2021-06-07
198275,2022-06-06
153184,2023-01-02
104079,2022-09-12
71281,2023-10-16T00:00:00.000Z
267823,2023-11-13T00:00:00.000Z
28064,2021-04-12
168767,2022-06-27
53152,2023-09-18T00:00:00.000Z
13616,2021-07-19
54088,2023-09-25T00:00:00.000Z
323010,2022-02-14
156177,2021-09-13
122750,2022-09-26
124928,2022-07-11
185688,2021-12-06
84051,2023-07-03T00:00:00.000Z
54631,2022-12-26
143791,2022-08-08
2607,2021-02-08
107234,2023-07-10T00:00:00.000Z
230792,2021-11-29
92462,2021-08-16
65758,2023-03-13
50257,2023-09-04T00:00:00.000Z
96140,2021-05-10
23323,2021-07-05
359880,2022-01-31
12266,2020-11-09
199290,2022-03-07
92386,2022-11-14
2554,2021-01-04
91228,2022-08-15
80318,2023-03-06
188765,2022-01-03
40785,2021-08-02
192639,2021-08-30
131443,2022-10-10
79453,2023-03-20
295311,2023-04-17
101533,2022-11-28
59544,2021-05-03
517133,2022-01-17
89659,2022-12-19
300481,2022-01-10
42902,2021-06-21
42455,2021-03-15
439371,2022-04-18
91091,2022-08-29
76445,2023-10-23T00:00:00.000Z
19017,2021-07-26
212340,2022-02-28
10454,2020-11-02
2252,2020-11-23
206029,2022-05-30
93956,2023-03-27
225721,2021-11-22
2017,2020-12-28
142363,2023-04-10
209283,2022-10-17
5823,2021-01-11
851,2020-10-26
262079,2022-04-04
144845,2022-08-01
746662,2023-05-15
295652,2021-10-04
119817,2022-06-13
236622,2021-10-11
583,2020-10-19
127401,2023-06-05T00:00:00.000Z
134939,2023-07-17T00:00:00.000Z
59861,2021-05-31
1045266,2023-05-01
57738,2021-05-17
200369,2021-09-27
78412,2023-08-21T00:00:00.000Z
74925,2023-06-19T00:00:00.000Z
102655,2023-07-24T00:00:00.000Z
181878,2021-04-26
8602,2020-12-21
4658,2021-03-01
112998,2022-07-25
128805,2022-07-18
132592,2022-11-07
218731,2023-01-09
104,2020-03-16
79694,2022-12-12
215516,2023-04-24
1541,2020-11-30
153172,2022-10-31
97590,2023-02-27
12253,2021-03-22
117259,2023-02-13
171065,2021-12-20
14337,2021-07-12
150764,2023-05-22
109642,2023-06-12T00:00:00.000Z
231184,2021-10-18
34296,2021-04-05
8389,2021-03-08
1023,2020-10-05
162995,2021-09-20
58784,2021-04-19
73915,2023-01-30
438,2020-12-07
234280,2021-11-08
5020,2021-02-15
71310,2021-03-29
73940,2021-08-09
2163,2020-12-14
61188,2023-08-28T00:00:00.000Z
90978,2023-08-14T00:00:00.000Z
102969,2023-06-26T00:00:00.000Z
265236,2022-02-21
96005,2023-10-02T00:00:00.000Z
198056,2021-11-15
129456,2022-10-24
749856,2022-01-24
296867,2022-05-16
1466,2020-10-12
283037,2022-05-02
82639,2023-02-20
208299,2023-01-16
130215,2023-11-06T00:00:00.000Z
98378,2023-02-06
273252,2022-03-21
57100,2022-12-05
129183,2021-05-24
216746,2021-11-01
3299,2021-01-25
227330,2022-05-09
113526,2022-09-05
152041,2021-12-27
83390,2023-08-07T00:00:00.000Z
296948,2022-05-23
171758,2022-06-20
75460,2021-08-23
128882,2022-07-04
98961,2023-01-23
55885,2023-09-11T00:00:00.000Z
78008,2023-05-29T00:00:00.000Z
10588,2021-01-18
171127,2022-10-03
69171,2023-10-09T00:00:00.000Z
4222,2020-11-16
1091672,2023-05-08
