NEW_USERS,WEEK
3562090,2022-08-22
1637299,2023-01-30
1426075,2023-03-20
1271562,2023-05-22
1358136,2022-12-19
1425801,2021-02-01
3419323,2023-05-08
2737321,2021-08-23
9167898,2022-05-16
6334507,2022-02-21
57424,2020-11-23
1555033,2023-02-13
4639078,2021-10-25
4454334,2022-01-10
2974002,2021-01-18
3223649,2022-10-10
2400918,2023-01-16
1077690,2023-06-05T00:00:00.000Z
2529752,2023-06-26T00:00:00.000Z
7434553,2022-03-21
1133170,2022-12-26
189,2020-03-16
5912316,2022-07-25
755257,2023-09-11T00:00:00.000Z
3951552,2021-08-30
1042936,2023-04-03
1593586,2021-02-15
2435652,2020-12-21
2135233,2021-06-07
131051,2020-11-09
4835541,2022-01-17
1474351,2023-11-13T00:00:00.000Z
1227126,2023-11-06T00:00:00.000Z
1167775,2023-10-23T00:00:00.000Z
1846226,2021-07-05
2028481,2020-12-28
1361154,2023-05-29T00:00:00.000Z
4968344,2022-03-28
1973216,2023-01-02
1189072,2022-11-21
6468071,2022-02-07
4709691,2022-09-19
1174673,2023-06-12T00:00:00.000Z
1504744,2021-03-22
5547225,2022-07-11
139277,2020-10-26
5470329,2021-09-13
1379683,2021-03-01
8267566,2022-08-08
10102135,2022-05-09
17166970,2022-04-11
1140437,2022-12-12
8182985,2021-05-03
1753235,2021-01-11
6224628,2021-11-22
6578232,2021-09-06
1289868,2022-11-14
2179720,2023-07-03T00:00:00.000Z
2196774,2023-01-23
7185059,2022-01-24
70711,2020-10-12
1091610,2023-10-09T00:00:00.000Z
2118967,2021-04-05
1341129,2023-08-07T00:00:00.000Z
8265405,2022-01-31
21762853,2022-04-25
16483831,2021-05-31
1771838,2021-03-08
2349451,2022-10-17
927627,2023-04-10
4562119,2021-11-01
1652709,2021-03-29
2449978,2021-06-28
1539437,2023-03-27
4839477,2021-10-04
53437,2020-11-30
3589945,2021-06-21
1236756,2023-07-24T00:00:00.000Z
77569,2020-11-16
6115333,2022-05-30
5010539,2022-06-27
7868505,2022-06-06
81940,2020-10-05
798184,2023-09-04T00:00:00.000Z
2491872,2020-12-14
1818496,2021-07-12
3687316,2021-12-20
1302735,2021-02-22
2432448,2021-01-04
127562,2020-11-02
1126420,2023-03-06
3709007,2022-01-03
1353547,2023-08-14T00:00:00.000Z
1101201,2023-10-16T00:00:00.000Z
960314,2023-08-21T00:00:00.000Z
3045890,2021-08-16
1160137,2023-07-17T00:00:00.000Z
23130861,2021-04-26
4280263,2021-10-11
3689904,2022-09-26
1927096,2021-08-02
1930147,2021-04-12
1327221,2023-04-17
3405069,2021-05-17
1054043,2023-02-20
3872999,2021-12-13
1613506,2022-11-07
11826632,2022-03-07
2003297,2021-07-26
5684319,2022-06-13
4056835,2022-09-12
4407431,2021-10-18
1610102,2021-03-15
8319525,2022-04-04
3863865,2021-11-15
1098296,2022-12-05
1921373,2022-10-24
4681209,2022-07-04
5592023,2022-07-18
2721809,2023-05-01
2124995,2021-07-19
4644483,2022-08-15
2147352,2022-10-31
6752248,2022-08-01
1243997,2023-06-19T00:00:00.000Z
14776285,2022-04-18
6850442,2022-02-28
4439054,2021-11-29
1355797,2023-03-13
1294659,2023-10-30T00:00:00.000Z
1485544,2022-11-28
1126460,2023-04-24
3644433,2022-08-29
16424443,2021-04-19
1540225,2023-02-27
2214027,2021-06-14
3001134,2021-05-10
1229386,2023-09-18T00:00:00.000Z
3483013,2021-01-25
2414082,2021-08-09
3184572,2021-12-27
9085125,2022-05-02
3801350,2021-05-24
1751542,2023-05-15
1224152,2023-07-10T00:00:00.000Z
100869,2020-10-19
7005352,2021-09-20
4041612,2022-10-03
8863948,2022-02-14
1144457,2023-10-02T00:00:00.000Z
952543,2023-09-25T00:00:00.000Z
6160664,2022-06-20
5920097,2022-09-05
3749525,2021-12-06
199461,2020-12-07
1504417,2021-02-08
4973605,2021-09-27
11065220,2022-05-23
2279067,2023-01-09
3846301,2022-03-14
1235296,2023-07-31T00:00:00.000Z
840331,2023-08-28T00:00:00.000Z
4386051,2021-11-08
1760711,2023-02-06
