WEEK,UNIQUE_PROGRAMS
2022-05-30 00:00:00.000,1356
2022-03-14 00:00:00.000,1042
2022-04-04 00:00:00.000,1130
2021-05-03 00:00:00.000,69
2021-04-12 00:00:00.000,51
2021-07-05 00:00:00.000,110
2021-02-08 00:00:00.000,45
2022-09-05 00:00:00.000,1470
2021-04-05 00:00:00.000,44
2022-02-21 00:00:00.000,882
2021-06-14 00:00:00.000,97
2022-09-19 00:00:00.000,1528
2022-06-06 00:00:00.000,1378
2022-06-27 00:00:00.000,1400
2021-11-29 00:00:00.000,452
2021-01-18 00:00:00.000,31
2021-12-06 00:00:00.000,503
2022-08-15 00:00:00.000,1459
2020-12-14 00:00:00.000,30
2020-10-26 00:00:00.000,19
2022-10-17 00:00:00.000,1554
2021-10-04 00:00:00.000,256
2021-03-08 00:00:00.000,49
2021-05-17 00:00:00.000,68
2022-07-11 00:00:00.000,1377
2021-10-25 00:00:00.000,340
2022-02-14 00:00:00.000,806
2020-11-09 00:00:00.000,21
2021-11-08 00:00:00.000,395
2021-07-19 00:00:00.000,131
2022-10-10 00:00:00.000,1573
2022-05-23 00:00:00.000,1323
2021-03-01 00:00:00.000,45
2021-02-01 00:00:00.000,53
2022-04-11 00:00:00.000,1163
2021-10-18 00:00:00.000,327
2021-12-13 00:00:00.000,489
2021-08-16 00:00:00.000,162
2021-09-27 00:00:00.000,237
2022-03-07 00:00:00.000,979
2021-01-04 00:00:00.000,29
2021-05-10 00:00:00.000,63
2021-02-15 00:00:00.000,50
2022-07-04 00:00:00.000,1393
2022-01-03 00:00:00.000,560
2022-04-25 00:00:00.000,1217
2022-05-16 00:00:00.000,1309
2021-07-26 00:00:00.000,132
2022-07-18 00:00:00.000,1390
2022-08-01 00:00:00.000,1476
2021-11-15 00:00:00.000,413
2022-01-10 00:00:00.000,603
2021-09-06 00:00:00.000,185
2022-01-31 00:00:00.000,718
2022-03-21 00:00:00.000,1066
2021-03-22 00:00:00.000,43
2021-02-22 00:00:00.000,47
2022-10-24 00:00:00.000,1257
2021-12-27 00:00:00.000,534
2020-10-05 00:00:00.000,11
2021-04-19 00:00:00.000,53
2020-10-12 00:00:00.000,13
2021-04-26 00:00:00.000,60
2020-12-07 00:00:00.000,28
2021-05-24 00:00:00.000,70
2021-07-12 00:00:00.000,113
2021-01-25 00:00:00.000,34
2021-05-31 00:00:00.000,88
2022-08-08 00:00:00.000,1485
2022-05-09 00:00:00.000,1276
2022-03-28 00:00:00.000,1128
2022-06-20 00:00:00.000,1370
2022-05-02 00:00:00.000,1287
2020-12-21 00:00:00.000,39
2020-11-02 00:00:00.000,25
2021-03-15 00:00:00.000,52
2022-10-03 00:00:00.000,1553
2022-08-29 00:00:00.000,1486
2022-02-07 00:00:00.000,785
2020-11-23 00:00:00.000,25
2022-08-22 00:00:00.000,1480
2022-01-24 00:00:00.000,673
2021-11-01 00:00:00.000,368
2020-10-19 00:00:00.000,16
2021-06-28 00:00:00.000,106
2022-04-18 00:00:00.000,1204
2021-03-29 00:00:00.000,49
2021-12-20 00:00:00.000,522
2022-09-26 00:00:00.000,1551
2021-06-21 00:00:00.000,105
2021-08-09 00:00:00.000,153
2021-08-23 00:00:00.000,165
2022-01-17 00:00:00.000,614
2021-01-11 00:00:00.000,31
2022-07-25 00:00:00.000,1400
2021-08-02 00:00:00.000,146
2022-09-12 00:00:00.000,1514
2021-09-13 00:00:00.000,217
2021-10-11 00:00:00.000,294
2021-08-30 00:00:00.000,175
2021-09-20 00:00:00.000,222
2022-06-13 00:00:00.000,1359
2020-11-30 00:00:00.000,37
2022-02-28 00:00:00.000,941
2020-11-16 00:00:00.000,25
2021-06-07 00:00:00.000,96
2020-12-28 00:00:00.000,39
2021-11-22 00:00:00.000,447
