WEEK,UNIQUE_USERS
2022-03-07 00:00:00.000,12596539
2022-08-29 00:00:00.000,4870895
2023-02-27 00:00:00.000,2042502
2022-09-12 00:00:00.000,5259544
2023-08-21T00:00:00.000Z,1274990
2023-01-09 00:00:00.000,3364079
2021-11-29 00:00:00.000,5164347
2021-03-08 00:00:00.000,2255524
2023-08-07T00:00:00.000Z,1657199
2022-06-27 00:00:00.000,6446321
2021-10-11 00:00:00.000,4877661
2022-06-20 00:00:00.000,7793104
2021-09-27 00:00:00.000,5569982
2021-02-15 00:00:00.000,2081921
2023-03-06 00:00:00.000,1609441
2022-11-14 00:00:00.000,2282021
2021-11-15 00:00:00.000,4625726
2020-12-07 00:00:00.000,199891
2023-04-17 00:00:00.000,1790581
2022-07-04 00:00:00.000,6063518
2022-10-24 00:00:00.000,2929734
2021-10-18 00:00:00.000,5028596
2022-06-13 00:00:00.000,7187697
2020-12-21 00:00:00.000,2476750
2022-10-31 00:00:00.000,3255739
2021-02-22 00:00:00.000,1742565
2022-02-21 00:00:00.000,7135008
2022-03-28 00:00:00.000,5780831
2022-05-16 00:00:00.000,10429807
2021-04-26 00:00:00.000,23482479
2022-12-26 00:00:00.000,2030411
2023-07-31T00:00:00.000Z,1582037
2021-03-01 00:00:00.000,1831544
2023-01-23 00:00:00.000,3037833
2021-06-28 00:00:00.000,2803627
2023-07-03T00:00:00.000Z,2577643
2021-05-17 00:00:00.000,3876222
2023-06-26T00:00:00.000Z,2972133
2023-02-13 00:00:00.000,2095655
2021-01-25 00:00:00.000,3792844
2022-08-08 00:00:00.000,9511732
2022-01-24 00:00:00.000,8029799
2021-01-04 00:00:00.000,2688680
2023-01-02 00:00:00.000,3004846
2022-01-17 00:00:00.000,5639772
2022-03-14 00:00:00.000,4679613
2023-03-27 00:00:00.000,1968482
2020-12-14 00:00:00.000,2492862
2022-12-12 00:00:00.000,2088271
2021-05-03 00:00:00.000,8596815
2021-12-27 00:00:00.000,4016783
2021-09-13 00:00:00.000,5943535
2022-05-09 00:00:00.000,11209312
2023-06-19T00:00:00.000Z,1650098
2022-05-30 00:00:00.000,7698330
2023-04-24 00:00:00.000,1836852
2020-10-12 00:00:00.000,70874
2021-09-06 00:00:00.000,7102176
2022-07-18 00:00:00.000,6930854
2022-09-19 00:00:00.000,5906223
2020-11-23 00:00:00.000,57962
2022-03-21 00:00:00.000,8239670
2022-10-03 00:00:00.000,5186693
2020-11-09 00:00:00.000,131562
2022-08-01 00:00:00.000,8053816
2021-11-22 00:00:00.000,6942235
2022-09-05 00:00:00.000,7158591
2021-06-07 00:00:00.000,2509377
2020-10-05 00:00:00.000,81947
2023-05-22 00:00:00.000,1988069
2020-03-16 00:00:00.000,189
2021-06-21 00:00:00.000,3987345
2021-12-13 00:00:00.000,4700792
2023-05-15 00:00:00.000,2583789
2023-04-03 00:00:00.000,1451155
2021-04-12 00:00:00.000,2228798
2022-02-28 00:00:00.000,7648834
