FIRST_TX_DATE,NEW_WALLETS
2023-03-19,12
2023-03-22,9
2023-02-13,3
2023-03-05,382
2023-02-11,2
2023-02-25,65
2023-02-09,2
2023-02-21,1
2023-03-07,102
2023-03-13,95
2023-02-22,145
2023-01-26,3
2023-02-06,2
2023-02-05,5
2023-03-21,10
2023-02-01,3
2023-02-04,1
2023-03-04,788
2023-02-12,2
2023-03-16,31
2023-03-10,40
2023-01-25,4
2023-03-24,7
2023-02-16,8
2023-02-27,114
2023-03-08,68
2023-02-15,4
2022-12-15,1
2023-03-14,15
2023-02-28,290
2023-03-11,23
2023-03-17,13
2023-02-03,3
2023-03-12,19
2023-03-20,23
2023-02-10,6
2023-02-23,108
2023-02-18,5
2023-02-17,13
2023-02-14,4
2023-03-15,25
2023-03-02,206
2023-03-06,221
2023-03-03,645
2023-02-24,112
2023-01-27,2
2023-02-08,1
2023-02-02,4
2023-02-26,155
2023-03-18,24
2023-03-01,383
2023-03-09,102
2023-02-19,1
